key,county,jurisdiction,category,cite,text
Colma|f51a9c768b,San Mateo County,Colma,Proposed Ordinance,,"Colma is planing a project named HOPE (Housing Our People Effectively),a ten-year action plan initiated by San Mateo County that brings together the business, nonprofit, and public sector communities to address the challenging issue of homelessness.The plan will increasing the supply of permanent affordable and supportive housing for people who are homeless and developing strategies to help them move into housing as rapidly as possible; and prevent individuals and families from becoming homeless in the first place by assisting them to maintain their housing"
Colton|5b30020d3c,San Bernardino County,Colton,Past Ordinance,,Prohibits camping or store personal property on public property / Enforcement. Adopted in 2011
"Coronado|Coronado, Cal., Code § 40.48.010 (2015)",San Diego County,Coronado,Past Ordinance,"Coronado, Cal., Code § 40.48.010 (2015)","Prohibited Conduct
(1) No camping/sleeping in public parks/beaches 11:00pm-5:00am.
(2) No campling/sleeping on any public street
(3) No loitering on public streets 11:00pm-5:00am.
Coronado, Cal., Code § 40.48.010 (2015)."
"Coronado|Coronado, Cal., Code § 40.48.012 (2015)",San Diego County,Coronado,Past Ordinance,"Coronado, Cal., Code § 40.48.012 (2015)","Prohibited Conduct
(1) No tents/canopies/barricades in public parks/beaches 11pm-5am
(2) Can't leave tents/canopies/barricades unattended 5am-11pm
Coronado, Cal., Code § 40.48.012 (2015)."
"Coronado|Coronado, Cal., Code § 40.48.040",San Diego County,Coronado,Past Ordinance,"Coronado, Cal., Code § 40.48.040","Prohibited Conduct
Can't stand/sit on street/median/sidewalk in a manner that obstructs passage or to ""hinder/molest/annoy"" passerbys
Coronado, Cal., Code § 40.48.040."
Corona|§ 9.26.020.),Riverside County,Corona,Past Ordinance,§ 9.26.020.),"Camping and storage of personal property prohibited on public property. (`78 Code, § 9.26.020.) (Ord. 3160 § 4, 2013; Ord. 2833 § 3 (part), 2006; Ord. 2619 § 1, 2002: Ord. 2256 § 1, 1995.)"
Cypress|ca7be35bb5,Orange County,Cypress,Past Ordinance,,"3/11/2024 (pre-GP) there was a hearing to adjust their park rules, no overnight camping in parks"
Daly City|§10.76.020,San Mateo County,Daly City,Past Ordinance,§10.76.020,"§10.76.020 It is prohibited to use or occupy any vehicle, camper, mobile home, RV, or similar conveyance for human habitation on public property (such as streets, alleys, parks, beaches, or squares) between 10:00 p.m. and 6:00 a.m.
Exception: Only allowed in areas officially designated by the city for such purposes.Violating this ordinance is considered an infraction and subject to fines:
First violation: Up to $50 fine.
Second violation (within one year): Up to $100 fine.
Additional violations (within one year): Up to $250 fine."
"Del Mar|Del Mar, Cal., Code § 9.04.020",San Diego County,Del Mar,Past Ordinance,"Del Mar, Cal., Code § 9.04.020","Prohibited Conduct
(1) No camping overnight.
(2) Camping evidenced by bedrolls and tents
Del Mar, Cal., Code § 9.04.020."
Delano|2dd8adc2f5,Kern County,Delano,Proposed Ordinance,,"Ordinance proposed in December 2024 (post-Grants Pass) city council meeting to prohibit camping in public parks and also create a new chapter prohibiting camping on public property ""to model Grants Pass's camping prohibitions."" Mayor and councilmembers separately expressed concerns about homeless individuals' presence interfering with local businesses."
Desert Hot Springs|80283747eb,Riverside County,Desert Hot Springs,Past Ordinance,,"Unlawful to camp or use camp paraphernalia (including sleeping bags) on any street, public parking lot, or private property, and to store personal property in any park, street, public property, or private property without owner/tenant consent. Adopted 12/3/2019."
