"County
Tulare County,General Law,"479,468","4,824 sq mi
(12,494 km2)",Visalia ,Past Ordinance,The changes to sections 12.32 and 12.35 of Visalia’s municipal code allow police to resume detaining people living in city parks or to force them to leave. The alterations also renew the city’s authority to remove highly-visible encampments established by unhoused citizens on public property.
,,,,Tulare ,Past Ordinance,"The existing camping ordinance in Tulare, which prevents camping in particular parks in the city, “is certainly legal at this point,” said Zamora at the city council meeting, adding that the city does not need to take any action as a result of the ruling. “We didn't have on our books a lot of ordinances,” said Tulare County Supervisor Dennis Townsend about homelessness, adding that the county was “pretty much just going by state law as far as removing someone” from a homeless encampment."
,,,,Porterville ,Past Ordinance,"The City of Porterville’s Unsafe Camping Ordinance, approved in April 2024, established new regulations prohibiting camping around critical infrastructure and codifying how, when and where the City may abate or conduct enforcement related to violations of the regulations. Enforcement of the ordinance began May 16, 2024."
Solano County,General Law,"449,218","828 sq mi
(2,145 km2)",Vallejo,"Past Ordinance, Anecdote/Interview","$175,000 set aside this month for “unhoused strategic plan,” Murray said the city is putting together a selection panel this month to meet and recommend a vendor who will handle drafting the plan, after which the city council can approve the project scope and contractor. "
,,,,Fairfield,Anecdote/Interview," City Church 242 in legal battle after local officials shut down the operations of the church's outreach program where they feed unhoused. City officials often cite complaints from residents, zoning violations, and land use regulations as reasons why church outreach programs are shut down. "
,,,,Vacaville,Past Ordinance,"It is unlawful and a public nuisance for any person or group of persons to camp, occupy camping facilities, or use camping paraphernalia in the following areas:
A. Any public property, improved or unimproved, including, but not limited to, public streets and sidewalks, parks, open space, and other property. Same for storage of property in public area. "
,,,,Fairfield,Policy Change,Anti-camping ordinances penalty voted just this week to change from infraction to misdo.
,,,,Vallejo,Anecdote/Interview,"Issue with shelter, 47-unit development is way over budget and opening date keeps being pushed back, other shelter has been full for over a year. "
,,,,Vallejo,Anecdote/Interview,First time since Grants Pass the court issued a injunction against forcing a woman to leave her encampment because it would deprive her of her due process right to liberty and property.
,,,,Suisun City,Anecdote/Interview,"Both Dixon and Suisun City appear to be taking a ""wait and see"" approach before amending or enforcing any anti-camping legislation. "
,,,,Vallejo,Anecdote/Interview,"Vallejo has been heavily enforcing sweets, to the point of tragic loss when sweep killed a 58 year old man last December. Now the City Coucil has suspended anymore sweeps until April due to heavy critque of the policies. "
Santa Barbara County,General Law,"441,257","2,738 sq mi
(7,091 km2)",Carpinteria,Past Ordinance,"Chapter 8.20 of the Carpinteria Municipal Code covers Sleeping and Camping. Although it does not specifiy what properties are designated for overnight camping, the municipal code does allow for overnight camping in those places. Otherwise, camping is not permitted and a violation is a misdemeanor or an infraction. Violators receive a warning prior to citation and are referred to services for persons experiencing homelessness, if appropriate. "
,,,,Santa Maria,Past Ordinance,"Section 6-1.02 Camping and storage of personal property in certain areas prohibited. This section largely bans overnight camping, whether inside or outside vehicles. Violation of this section of the code is a misdemeanor. The section does not prohibit camping in areas designated for such purposes for the City Council, but it does not specify in the code what those sections are. "
,,,,Goleta,Past Ordinance,"Municipal Code §10.04.040 Sleeping, Camping, Use of a Recreational Vehicle for Occupancy on Any Public Street, Highway, Right-of-War or Any Public Property Within the City—Prohibited. Does not allow any overnight parking or camping in a trailer. "
,,,,Solvang,Past Ordinance,"Chapter 6, Camping, §5-6-3 Camping on city property: Solvang still has a carveout in their municpal code for ""people who do not have any other permanent residence or domicile and/or are involuntarily homeless are not prohibited from camping on public property or rights-of-way, provided camping occurs in compliance with certain rules and regulations outlined in the code. "
,,,,Lompoc,Past Ordinance,"Past but very recent. Ordinance was passed on March 4, 2025. City Council banned personal belongins or camping on public property. New ordinances will prohibit camping on any public or private property with the exceptions of campgrounds and the permission of the private property owner; prohibit storing personal property in a way that obstructs doorways, sidewalsk, or other areas public property; prohibit a person from using their body to do the same; and prohibit camping, storing personal property, or taking up more space than one seated person in bust stop shelters or on bust stop benches. Council passed these new ordinance unanimously, 5-0 and cited the Grants Pass. "
,,,,Solvang,Past Ordinance,"In October, 2023, Solvang Mayor Mark Infanti signed a new ordinance to allow RVs to be parked in residential neighborhoods and along city streets with restrictions. It had been previously been prohibited. Under the new ordinance, temprorary parking is permitted for 24 hours a a time on city-owned public property, excluding areas within Solvang's Tourism Commercial District. Overnight parking is still prohibited downtown, near schools, or in areas that impede traffic. Once a vehicle has been parked in the same place for more than 24 hours, it will be asked to relocate. "
,,,,Santa Barbara,Past Ordinance,"The Clean Community Division of the City of Santa Barbara facillitates a program called ""Clean SB"" dedicated to keeping the City clean through programs focused on litter clean up, illegal dumping, abandonded shopping carts, and encampments. The response team for this program consists of representaties from City Net (a contractor) and represenatives from throughout the City. The team works to connect unsheltered individuals with services, clean up encampments, and take enforcement action. The team typically provides 72 hours advance notice of clean ups. The city reports 1,191 encampment cleanups since 2019. Notably absent is the amount of people housed from these encampments. "
,,,,Santa Barbara,Past Ordinance,"Chapter 9.98: Pedestrians Blocking Public Sidewalks. No person shall stand, or sit, or congregate in or upon any street, sidewalk or crosswalk in the City with the intent to hinder or obstruct the free passage of pedestrians thereon, or to annoy or molest such pedestrians, or to block the entrance to a building, and refuse to disperse after having been ordered to do so by the police when the police reasonably believe an immediate threat to public safety is present. Penalty is a misdemenaor, and punishment of a fine not exceeding $500, imprisonment for a term not exceeding six months, or both. "
,,,,Santa Barbara,Past Ordinance,"Chapet 9.97: Sitting or Lying on Sidewalks and Paseos Along Certain Downtown Portions of State Street. Deisgnates specific parts in downtown Santa Barbara where it is prohibited to sit or lie down on a sidewalk or public paseo, or upon a blanket, chair, stool, or any other object between 7:00am and 2:00am. Unclear from the chapter what the punishment is but it does state that no one can be prosecuted for a violation of this chapter unless the person engaged in the prohibited conudct after having been notified by a law enforcement officer or other City-designated volunteer or employee. "
,,,,Santa Barbara,Past Ordinance,"Chapter 9.50: Prohibition of Abusive Panhandling. This ordinance restricts abusive panhandling across the city of Snata Barbara. Abusive panhandling is defined as blocking or impeding someone's movement, following someone, threateneing them, touching the person, among other things. Furthermore, the ordinance restricts active panhandling (a verbal request) in many locations like bus stops, in a vehicle, in a City parking lot, within 25 feet of a restaurant, among other things. Any person who violates the ordinance shall be guilty of a misdemeanor, fined at most $1,000, or imprisoned for no more than 6 months, or both. "
,,,,Santa Barbara,Policy Change,"**Santa Barbara County, Not City** In January of this year, in the wake of the Grants Pass decision, the Santa Barbara County Supervisors adopted some changes, though not radical shifts, to their approach to dealing with encapments. Newly approved procedures stiipulated that encapments may only be cleared if alternative shelter is avaliable, with exceptions for publcic safety. These exceptions include encapments in waterways or areas where the use of flammables near dry brush heightens the risk of fire. Policy changes also allow for less notice before encampments are cleared and a shorter duration for storing uncollected belgomings. "
Monterey County,General Law,"430,723","3,322 sq mi
(8,604 km2)",Salinas,"Proposed Ordinance, Anecdote/Interview","Article XIIII of Salinas Municipal code (passed October 10, 2017) prohibits storing unattended personal property on city land, limits attended property to a volume fitting within a 90-gallon container, and bans storing items that obstruct pathways, entrances, or violate ADA requirements. Article XIV (passed October 10, 2017) prohibits camping in public areas.
The city can impound personal property with notice, or immediately remove items that pose health or safety threats or block essential areas. Notices must detail the removal process, property descriptions, and how property can be reclaimed within 90 days before disposal.
Additionally, the ordinance forbids attaching personal belongings to public or private property in a way that obstructs public movement, with immediate removal allowed.
The Salinas Homeless Union is one of the organizations based in Salinas advocates not only for visibly unhoused people but also for poor and vulnerable individuals living precariously according to the news of January 20, 2025."
,,,,Seaside,"Past Ordinance, Anecdote/Interview","Chapter 9.20 of Seaside Municipal Code current through Ordinance 2010, passed October 7, 2021 prohibits people from using vehicles, campers, or trailers for sleeping, eating, or resting on public property in the city between 10:00 PM and 6:00 AM unless explicitly allowed by posted signs. Additionally, camping, sleeping, or erecting tents or any temporary sleeping facilities on city-owned public property is banned entirely. Violations are punishable as infractions.
The city has a homeless commission, and its meeting on March 5, 2025 reviewed its Annual Work Plan for the fiscal year of 2024-2025, which was adopted April 3, 2024. The commission will focus on expanding housing and emergency support, strengthening community partnerships, and enhancing services for the unhoused. Key initiatives include: identifying new transitional housing sites, advocating for rental assistance, improving safe parking programs, collaborating with food and youth support organizations, and exploring mobile hygiene services. The commission will also seek funding opportunities, host community forums, and push for policy changes to prevent and address homelessness."
,,,,Monterey,"Past Ordinance, Proposed Ordinance","The ""Homeless Response"" page of City of Monterey accessed on February 23, 2025 listed related City Codes, which addresses various regulations concerning motor vehicles, public conduct, parks, streets, and sidewalks to maintain community safety and order.
Chapter 22 outlines general offenses, including prohibitions against trespassing on private property (22-25.5 MCC), which requires clear signage as determined by the MPD; public urination or defecation (22-15 MCC); consumption or possession of open alcohol containers in public spaces [ROW TRUNCATED IN SOURCE EXPORT — re-run pipeline/fetch_berkeley_appendix.py to recover the tail of this row]"
