"County
,,,,Lemon Grove ,Past Ordinance,"Prohibited Conduct
Prohibits camping or storage of property in any public place or street
Lemon Grove, Cal. Code §§ 9.36.090."
,,,,Lemon Grove ,Past Ordinance,"Enforcement
Violation = misdemeanor + fine < $500 or prison < 6 mo.
Lemon Grove, Cal. Code § 9.36.100."
,,,,National City ,Anecdote/Interview,"Oct. 2024
National City begins enforcing new anti-camping and -sleeping ordinance"
,,,,National City ,Past Ordinance,"Definitions
Has adopted San Diego City's code.
National City, Cal. Code § 10.55.020 (2024)."
,,,,National City ,Past Ordinance,"Prohibited Conduct
Has adopted San Diego City's code.
National City, Cal. Code § 10.55.040 (2024)."
,,,,National City ,Past Ordinance,"Enforcement
Has adopted San Diego City's code.
National City, Cal. Code §§ 10.55.050, 10.55.060 (2024)."
,,,,Oceanside ,Anecdote/Interview,"Oct. 2024
Oceanside PD begins enforcement of new anti-encampment ordinances w/out bed availability"
,,,,Oceanside ,Past Ordinance,"Definitions
(1) Camping = ""to pitch or occupy camp facilities, or to use camp paraphernalia, for living purposes in an outdoor area."" NOT sleeping alone
(2) Camp facilities = tents/huts/shacks/other temp.shelters
(3) Camp paraphernalia = but is not limited to, tents or tent-like structures, cots, beds, hammocks or personal cooking facilities and similar equipment. NOT blankets/sleeping bags/bedrolls
(4) Obstruct ped./veh. traffic.= ""take evasive action to avoid physical contact""
(5) Open space = unimproved and designated for open space use
Oceanside, Cal. Code § 20.21.1(b) (2024)."
,,,,Oceanside ,Past Ordinance,"Prohibited Conduct
(1) Cannot camp/occupy/use camp paraphenelia in a public space
(2) Cannot sit ""on . . . any object"" in a manner that obstructs ped./veh. traffic
(3) Cannot sleep in open space
(4) Cannot cook food in public space
Oceanside, Cal. Code § 20.21.1(c) (2024)."
,,,,Oceanside ,Past Ordinance,"Prohibited Conduct
Cannot store personal property (including bed rolls) on public property unattended
Oceanside, Cal. Code § 202.21.2(b) (2024)"
,,,,Oceanside ,Past Ordinance,"Enforcement
(1) Property may be removed after 24 hr written notice
(2) Property may be reclaimed w/in 90 days by identifying property and approx. location it was left
Oceanside, Cal. Code § 20.21.2(d) (2024)."
,,,,Poway ,Past Ordinance,"Definitions
Camping is
(1) Residing in or using any public area or private property for living accommodation or habitation purposes
(2) constructing/maintaining/using camping facilities or paraphenelia even if not in active use (bedding included)
Poway, Cal. Code § 8.26.020 (2023)"
,,,,Poway ,Past Ordinance,"Prohibited Activities
Cannot camp on public property or private property w/ permission
Poway, Cal. Code § 8.26.030 (2023)."
,,,,Poway ,Past Ordinance,"Enforcement
(1) 24 hrs. written notice before removal
(2) Property may be reclaimed w/in 90 days (unclear on what instructions will provided to owners)
Poway, Cal. Code § 8.26.070 (2023)."
,,,,San Diego ,Anecdote/Interview,"Feb. 2025
City begins plan to clear homeless encampments in brush areas b/c fire risk. City says that assistance will be offered when notice is given but does not state that alternative housing will be provided."
,,,,San Diego ,Past Ordinance,"Definitions
(1) ""Camp"" or ""Camping"" means to place, pitch, erect, or occupy an encampment, or to use camp paraphernalia or both, for the purpose of, or in a way that facilitates outdoor sheltering for living, accommodation or habitation purposes or for remaining outdoors overnight.
(2) ""Camp Paraphernalia"" includes, but is not limited to, tarps, cots, beds, sleeping bags, hammocks, bedrolls, camp stoves, cooking equipment, buckets, and similar equipment or items that are accessory to encampments, mattresses, couches, dressers, or other
San Diego, Cal. Code § 63.0402 (2024)."
,,,,San Diego ,Past Ordinance,"Prohibited Conduct
Public nuisance to camp, use camp paraphenelia or accumulate waste
(1) on public property
(2) w/in 2 blocks of a school
(3) in waterways
(4) w/in transit hubs
San Diego, Cal. Code § 63.0404 (2024)."
,,,,San Diego ,Past Ordinance,"Enforcement
(1) Encampments may be removed
(2) Violation is a misdemeanor
San Diego, Cal. Code §§ 63.0405-06 (2024)."
,,,,San Marcos ,Past Ordinance,"Has adopted San Diego City's code
San Marcos, Cal. Code § 10.33 (2024)"
,,,,Santee ,Past Ordinance,"Defintions
Camping includes use of bedding
Santee, Cal. Code § 7.20.020 (2019)."
,,,,Santee ,Past Ordinance,"Prohibited Conduct
(1) sitting or lying down on the sidewalk or any object placed on the sidewalk in most city zones
(2) loitering where no loitering signs have been posted and verban notice has been given
(3) loitering around public transportation facilities after 48 hr. verbal notice
(4) camping w/in 1000 ft of a waterbody
(5) camping in a park
(6) camping on sidewalks or streets in a manner that obstructs traffic
Santee, Cal. Code §§ 7.20.030-60"
,,,,Santee ,Statistics,"2025
(1) 72-hr notice given before camp is abated
(2) Proeprty may be recovered w/in 90 days"
,,,,Solana Beach ,Past Ordinance,"Prohibited Conduct
(1) Unlawful to pitch tent/create temp. structure in public space
(2) May not sleep in public space within any camp/shelter
Solana Beach, Cal. Code §§ 6.24.010-20 ("
,,,,San Diego ,Proposed Ordinance,"March 2025- San Diego Board of Supervisors passed Unsafe Camping Ordinance for 2025 - The board, after approving the motion in a 4-0 vote Tuesday, will review and vote on a draft ordinance in two months. If that is approved, it will require a second vote to become law under county policy."
,,,,Vista ,Anecdote/Interview,"Aug. 2024
City to start enforcing 1968 anti-camping ban "
Orange County,Charter,"3,135,755","948 sq mi
(2,455 km2)",Aliso Viejo ,Proposed Ordinance,Nov. 2024 Unanimous vote to remove the exception in their anti-camping law (no beds needed in shelters to arrest for homelessness)
,,,,Anaheim ,Statistics,In 2022 Annaheim was responsible for 20% of the 496 homeless deaths in Orange County
,,,,Newport Beach ,Proposed Ordinance,"Aug. 2024 Greater prohibitions on sleeping in public places, setting up camps, and leaving property unattended"
,,,,Fullerton ,Proposed Ordinance,"March 2025 Further tightening on anti-camping laws, criminalizing of homeless people"
,,,,Garden Grove ,Anecdote/Interview,"""We’ve got a lot of carrots, but I think it’s time to give our police department also the stick"" quote from City counselman "
,,,,Garden Grove ,Proposed Ordinance,"Approved Nov. 2024, ""prohibits camping, sleeping, storing personal property on public places, or interfering with public access to public places"""
,,,,Newport Beach ,Proposed Ordinance,Passed Aug. 2024 further restricting camping
,,,,Cypress ,Past Ordinance,"3/11/2024 (pre-GP) there was a hearing to adjust their park rules, no overnight camping in parks"
,,,,Huntington Beach ,Past Ordinance,Seems like the anti-homelessness laws have been strict and unchanged since 2022
,,,,,Statistics,"7,300 Homeless people counted in Orange County in January 2024"
,,,,Irvine ,Proposed Ordinance,"Nov 2024 Irvine has no homeless shelter, but ability clear out homeless shelters with only 24 hours notice, "
,,,,San Clemente ,Anecdote/Interview,Didn't pass a ban on feeding homeless people in February 2025
Riverside County,General Law,"2,492,442","7,208 sq mi
(18,669 km2)",Banning ,Past Ordinance,"Unlawful camping ordinance. Specifies that sleeping on its own does not constitute camping, but includes sleeping bags and bedrolls as ""camp paraphernalia"" such that if sleeping bags/bedrolls are used ""in such a way as will facilitate sleeping,"" it is unlawful camping. Adopted 4/23/2024 (pre-Grants Pass)"
,,,,Banning ,Past Ordinance,"Sitting, lying, sleeping in public places is unlawful if obstructing traffic, between 6am and 10pm. Includes sleeping in vehicle parked in public. From 10pm to 6am, sleeping prohibited in public UNLESS no sleeping/shelter spaces practically available. Adopted 4/23/2024 (pre-Grants Pass)"
,,,,Beaumont ,Past Ordinance,"Unlawful camping/unlawful storage of personal property ordinance. Encapsulates public/private property. Includes bedrolls as ""camp paraphernalia."" Adopted 9/3/2024 (post-Grants Pass)"
,,,,Canyon Lake ,Past Ordinance,"Sitting, lying, sleeping, or storing property in public right of way prohibited. Adopted 10/6/2021."
,,,,Canyon Lake ,Past Ordinance,"Camping prohibited on public/private property, including sleeping in a vehicle. Adopted 7/10/2013."
,,,,Calimesa ,Proposed Ordinance,"Two proposed ordinances related to homelessness in November 2024 city council meeting agenda. Agenda explicitly references Grants Pass decision as motivation to prepare ordinances ""specifically related to homelessness."" One prohibits unlawful camping/using camp paraphernalia on public property, obstructing right of ways, sitting and lying on public benches, & public urination/defecation; the other declares shopping cart use for personal belongings a public nuisance"
,,,,Cathedral City ,Past Ordinance,Prohibits sleeping vehicles parked in public places. Adopted in 1982.
,,,,Coachella ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags. Adopted 2/10/2016."
,,,,Corona ,Past Ordinance,"Camping and storage of personal property prohibited on public property. (`78 Code, § 9.26.020.) (Ord. 3160 § 4, 2013; Ord. 2833 § 3 (part), 2006; Ord. 2619 § 1, 2002: Ord. 2256 § 1, 1995.)"
,,,,Desert Hot Springs ,Past Ordinance,"Unlawful to camp or use camp paraphernalia (including sleeping bags) on any street, public parking lot, or private property, and to store personal property in any park, street, public property, or private property without owner/tenant consent. Adopted 12/3/2019."
,,,,Eastvale ,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass)"
