name,jurisdiction_type,lat,lon,source
La Quinta,city,33.646083,-116.275297,census_gazetteer_2024
La Verne,city,34.120521,-117.769928,census_gazetteer_2024
Lafayette,city,37.891004,-122.119529,census_gazetteer_2024
Laguna Beach,city,33.54337,-117.761801,census_gazetteer_2024
Laguna Hills,city,33.591216,-117.697621,census_gazetteer_2024
Laguna Niguel,city,33.528654,-117.701253,census_gazetteer_2024
Laguna Woods,city,33.612058,-117.730319,census_gazetteer_2024
Lake Elsinore,city,33.685956,-117.335404,census_gazetteer_2024
Lake Forest,city,33.654946,-117.675848,census_gazetteer_2024
Lakeport,city,39.038333,-122.922633,census_gazetteer_2024
Lakewood,city,33.847135,-118.121894,census_gazetteer_2024
Lancaster,city,34.693558,-118.175305,census_gazetteer_2024
Larkspur,city,37.940544,-122.530229,census_gazetteer_2024
Lathrop,city,37.808666,-121.317765,census_gazetteer_2024
Lawndale,city,33.888435,-118.353143,census_gazetteer_2024
Lemon Grove,city,32.733071,-117.034413,census_gazetteer_2024
Lemoore,city,36.29528,-119.797268,census_gazetteer_2024
Lincoln,city,38.874464,-121.292886,census_gazetteer_2024
Lindsay,city,36.209096,-119.093259,census_gazetteer_2024
Live Oak,city,39.278802,-121.662439,census_gazetteer_2024
Livermore,city,37.686977,-121.759781,census_gazetteer_2024
Livingston,city,37.387281,-120.724943,census_gazetteer_2024
Lodi,city,38.12161,-121.290765,census_gazetteer_2024
Loma Linda,city,34.043287,-117.246647,census_gazetteer_2024
Lomita,city,33.793306,-118.317455,census_gazetteer_2024
Lompoc,city,34.662689,-120.470837,census_gazetteer_2024
Long Beach,city,33.780791,-118.16818,census_gazetteer_2024
Loomis,city,38.809358,-121.195383,census_gazetteer_2024
Los Alamitos,city,33.796911,-118.061244,census_gazetteer_2024
Los Altos,city,37.368431,-122.09657,census_gazetteer_2024
Los Altos Hills,city,37.366808,-122.13865,census_gazetteer_2024
Los Angeles,city,34.019394,-118.410825,census_gazetteer_2024
Los Banos,city,37.063184,-120.840304,census_gazetteer_2024
Los Gatos,city,37.229944,-121.956874,census_gazetteer_2024
Loyalton,city,39.676855,-120.244811,census_gazetteer_2024
Lynwood,city,33.923959,-118.201655,census_gazetteer_2024
Madera,city,36.965774,-120.08616,census_gazetteer_2024
Malibu,city,34.02586,-118.759643,census_gazetteer_2024
Mammoth Lakes,city,37.624435,-118.988432,census_gazetteer_2024
Manhattan Beach,city,33.90087,-118.420715,census_gazetteer_2024
Manteca,city,37.790498,-121.230626,census_gazetteer_2024
Maricopa,city,35.050942,-119.406605,census_gazetteer_2024
Marina,city,36.680256,-121.789368,census_gazetteer_2024
Martinez,city,37.998116,-122.114419,census_gazetteer_2024
Marysville,city,39.151535,-121.583374,census_gazetteer_2024
Maywood,city,33.988548,-118.187707,census_gazetteer_2024
McFarland,city,35.667286,-119.230722,census_gazetteer_2024
Mendota,city,36.757595,-120.380474,census_gazetteer_2024
Menifee,city,33.689858,-117.184383,census_gazetteer_2024
Menlo Park,city,37.479731,-122.148055,census_gazetteer_2024
Merced,city,37.305721,-120.477907,census_gazetteer_2024
Mill Valley,city,37.908122,-122.542325,census_gazetteer_2024
Millbrae,city,37.59897,-122.401991,census_gazetteer_2024
Milpitas,city,37.433136,-121.890934,census_gazetteer_2024
Mission Viejo,city,33.609335,-117.656471,census_gazetteer_2024
Modesto,city,37.637533,-121.003049,census_gazetteer_2024
Monrovia,city,34.163984,-117.984646,census_gazetteer_2024
Montague,city,41.727088,-122.530511,census_gazetteer_2024
Montclair,city,34.071493,-117.69808,census_gazetteer_2024
Monte Sereno,city,37.24041,-121.988235,census_gazetteer_2024
Montebello,city,34.015444,-118.111012,census_gazetteer_2024
Monterey,city,36.601193,-121.88311,census_gazetteer_2024
Monterey Park,city,34.04838,-118.133165,census_gazetteer_2024
Moorpark,city,34.285942,-118.87704,census_gazetteer_2024
Moraga,city,37.845693,-122.123217,census_gazetteer_2024
Moreno Valley,city,33.923253,-117.205685,census_gazetteer_2024
Morgan Hill,city,37.132495,-121.641891,census_gazetteer_2024
Morro Bay,city,35.366773,-120.868289,census_gazetteer_2024
Mount Shasta,city,41.32088,-122.315481,census_gazetteer_2024
Mountain View,city,37.399686,-122.079269,census_gazetteer_2024
Murrieta,city,33.573214,-117.191007,census_gazetteer_2024
Napa,city,38.297872,-122.300741,census_gazetteer_2024
National City,city,32.665862,-117.097361,census_gazetteer_2024
Needles,city,34.813426,-114.626639,census_gazetteer_2024
Nevada City,city,39.259608,-121.033326,census_gazetteer_2024
Newark,city,37.504253,-122.03191,census_gazetteer_2024
